epoch,box,dfl,cls,Recall,Precision,mAP@50,mAP
001,1.572,1.572,1.282,0.618,0.618,0.724,0.413
002,1.502,1.502,1.050,0.621,0.621,0.732,0.413
003,1.528,1.528,1.045,0.601,0.601,0.709,0.398
004,1.532,1.532,1.036,0.617,0.617,0.725,0.407
005,1.509,1.509,0.998,0.638,0.638,0.746,0.430
006,1.491,1.491,0.973,0.623,0.623,0.743,0.429
007,1.473,1.473,0.950,0.630,0.630,0.748,0.439
008,1.456,1.456,0.934,0.630,0.630,0.750,0.438
009,1.449,1.449,0.921,0.645,0.645,0.757,0.447
010,1.438,1.438,0.912,0.655,0.655,0.770,0.454
011,1.426,1.426,0.901,0.656,0.656,0.772,0.458
012,1.421,1.421,0.893,0.662,0.662,0.776,0.461
013,1.413,1.413,0.887,0.667,0.667,0.780,0.463
014,1.410,1.410,0.878,0.666,0.666,0.782,0.467
015,1.404,1.404,0.877,0.674,0.674,0.785,0.471
016,1.396,1.396,0.868,0.666,0.666,0.784,0.473
017,1.390,1.390,0.862,0.668,0.668,0.788,0.475
018,1.392,1.392,0.862,0.678,0.678,0.789,0.475
019,1.380,1.380,0.854,0.680,0.680,0.793,0.481
020,1.377,1.377,0.852,0.680,0.680,0.793,0.479
021,1.378,1.378,0.851,0.680,0.680,0.792,0.480
022,1.371,1.371,0.844,0.682,0.682,0.794,0.482
023,1.373,1.373,0.842,0.685,0.685,0.796,0.484
024,1.366,1.366,0.836,0.686,0.686,0.798,0.487
025,1.366,1.366,0.838,0.683,0.683,0.797,0.488
026,1.360,1.360,0.834,0.687,0.687,0.801,0.490
027,1.363,1.363,0.834,0.686,0.686,0.799,0.490
028,1.359,1.359,0.833,0.691,0.691,0.803,0.491
029,1.355,1.355,0.827,0.683,0.683,0.801,0.493
030,1.354,1.354,0.826,0.689,0.689,0.804,0.494
031,1.350,1.350,0.822,0.692,0.692,0.805,0.497
032,1.351,1.351,0.822,0.697,0.697,0.808,0.496
033,1.343,1.343,0.818,0.695,0.695,0.807,0.498
034,1.341,1.341,0.817,0.694,0.694,0.808,0.498
035,1.342,1.342,0.814,0.698,0.698,0.808,0.498
036,1.342,1.342,0.814,0.701,0.701,0.809,0.501
037,1.341,1.341,0.812,0.702,0.702,0.810,0.501
038,1.344,1.344,0.812,0.702,0.702,0.812,0.503
039,1.340,1.340,0.812,0.699,0.699,0.812,0.503
040,1.338,1.338,0.810,0.702,0.702,0.813,0.504
041,1.329,1.329,0.804,0.698,0.698,0.811,0.505
042,1.331,1.331,0.803,0.704,0.704,0.813,0.505
043,1.329,1.329,0.800,0.705,0.705,0.814,0.506
044,1.329,1.329,0.801,0.704,0.704,0.814,0.507
045,1.332,1.332,0.804,0.706,0.706,0.815,0.509
046,1.327,1.327,0.800,0.702,0.702,0.815,0.509
047,1.326,1.326,0.799,0.709,0.709,0.817,0.510
048,1.323,1.323,0.796,0.705,0.705,0.816,0.511
049,1.328,1.328,0.798,0.707,0.707,0.818,0.511
050,1.319,1.319,0.793,0.709,0.709,0.818,0.511
051,1.325,1.325,0.794,0.710,0.710,0.819,0.513
052,1.322,1.322,0.791,0.712,0.712,0.820,0.513
053,1.320,1.320,0.791,0.712,0.712,0.819,0.513
054,1.323,1.323,0.790,0.714,0.714,0.820,0.514
055,1.314,1.314,0.787,0.712,0.712,0.821,0.514
056,1.319,1.319,0.789,0.711,0.711,0.821,0.515
057,1.319,1.319,0.790,0.713,0.713,0.822,0.516
058,1.312,1.312,0.786,0.712,0.712,0.821,0.516
059,1.310,1.310,0.785,0.711,0.711,0.822,0.516
060,1.311,1.311,0.784,0.712,0.712,0.822,0.517
061,1.312,1.312,0.785,0.714,0.714,0.823,0.517
062,1.311,1.311,0.784,0.714,0.714,0.822,0.517
063,1.309,1.309,0.783,0.715,0.715,0.823,0.517
064,1.310,1.310,0.783,0.716,0.716,0.824,0.518
065,1.306,1.306,0.781,0.716,0.716,0.825,0.519
066,1.310,1.310,0.781,0.716,0.716,0.824,0.519
067,1.308,1.308,0.782,0.716,0.716,0.824,0.519
